"행정구역","2026년05월_계_총인구수","2026년05월_계_연령구간인구수","2026년05월_계_0~9세","2026년05월_계_10~19세","2026년05월_계_20~29세","2026년05월_계_30~39세","2026년05월_계_40~49세","2026년05월_계_50~59세","2026년05월_계_60~69세","2026년05월_계_70~79세","2026년05월_계_80~89세","2026년05월_계_90~99세","2026년05월_계_100세 이상","2026년05월_남_총인구수","2026년05월_남_연령구간인구수","2026년05월_남_0~9세","2026년05월_남_10~19세","2026년05월_남_20~29세","2026년05월_남_30~39세","2026년05월_남_40~49세","2026년05월_남_50~59세","2026년05월_남_60~69세","2026년05월_남_70~79세","2026년05월_남_80~89세","2026년05월_남_90~99세","2026년05월_남_100세 이상","2026년05월_여_총인구수","2026년05월_여_연령구간인구수","2026년05월_여_0~9세","2026년05월_여_10~19세","2026년05월_여_20~29세","2026년05월_여_30~39세","2026년05월_여_40~49세","2026년05월_여_50~59세","2026년05월_여_60~69세","2026년05월_여_70~79세","2026년05월_여_80~89세","2026년05월_여_90~99세","2026년05월_여_100세 이상"
"경기도 광명시 (4121000000)","303,479","303,479","19,089","28,041","33,166","45,273","47,022","51,614","44,100","24,099","9,320","1,704","51","148,587","148,587","9,771","14,283","16,841","23,164","23,329","25,191","21,067","11,075","3,463","391","12","154,892","154,892","9,318","13,758","16,325","22,109","23,693","26,423","23,033","13,024","5,857","1,313","39"
"경기도 평택시 (4122000000)","618,234","618,234","46,269","59,256","72,100","101,357","101,637","102,884","77,158","36,989","17,442","3,072","70","325,013","325,013","23,520","30,178","40,386","57,313","55,427","54,256","39,771","16,988","6,405","756","13","293,221","293,221","22,749","29,078","31,714","44,044","46,210","48,628","37,387","20,001","11,037","2,316","57"
"경기도 송탄출장소 (4122200000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 안중출장소 (4122400000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 동두천시 (4125000000)","86,243","86,243","3,466","7,344","8,306","8,285","11,009","15,675","15,783","9,848","5,588","921","18","42,962","42,962","1,792","3,720","4,433","4,518","5,611","8,188","8,049","4,375","2,012","259","5","43,281","43,281","1,674","3,624","3,873","3,767","5,398","7,487","7,734","5,473","3,576","662","13"
"경기도 안산시 (4127000000)","609,712","609,712","28,674","51,794","79,926","83,037","83,561","119,288","102,092","40,153","17,574","3,489","124","312,279","312,279","14,626","26,524","42,471","46,076","43,825","59,602","53,009","19,085","6,250","780","31","297,433","297,433","14,048","25,270","37,455","36,961","39,736","59,686","49,083","21,068","11,324","2,709","93"
"경기도 안산시 상록구 (4127100000)","321,039","321,039","13,619","27,681","43,195","41,014","43,353","64,075","54,300","21,564","10,205","1,962","71","163,949","163,949","6,971","14,084","23,091","22,814","22,603","31,916","28,262","10,132","3,592","465","19","157,090","157,090","6,648","13,597","20,104","18,200","20,750","32,159","26,038","11,432","6,613","1,497","52"
"경기도 안산시 단원구 (4127300000)","288,673","288,673","15,055","24,113","36,731","42,023","40,208","55,213","47,792","18,589","7,369","1,527","53","148,330","148,330","7,655","12,440","19,380","23,262","21,222","27,686","24,747","8,953","2,658","315","12","140,343","140,343","7,400","11,673","17,351","18,761","18,986","27,527","23,045","9,636","4,711","1,212","41"
"경기도 고양시 (4128000000)","1,057,471","1,057,471","60,191","94,995","116,808","144,044","156,164","193,523","163,604","78,203","41,557","8,205","177","514,013","514,013","30,774","48,358","58,330","72,295","76,674","93,481","80,651","35,972","15,170","2,273","35","543,458","543,458","29,417","46,637","58,478","71,749","79,490","100,042","82,953","42,231","26,387","5,932","142"
"경기도 고양시 덕양구 (4128100000)","483,267","483,267","30,166","40,436","50,177","70,281","73,534","83,688","73,974","38,034","19,408","3,489","80","236,532","236,532","15,468","20,534","25,127","35,225","36,996","41,214","36,481","17,374","7,184","914","15","246,735","246,735","14,698","19,902","25,050","35,056","36,538","42,474","37,493","20,660","12,224","2,575","65"
"경기도 고양시 일산동구 (4128500000)","297,895","297,895","16,230","26,691","34,814","41,204","43,484","55,507","45,987","20,577","10,894","2,457","50","144,286","144,286","8,266","13,675","17,009","20,624","21,141","26,600","22,703","9,640","3,936","682","10","153,609","153,609","7,964","13,016","17,805","20,580","22,343","28,907","23,284","10,937","6,958","1,775","40"
"경기도 고양시 일산서구 (4128700000)","276,309","276,309","13,795","27,868","31,817","32,559","39,146","54,328","43,643","19,592","11,255","2,259","47","133,195","133,195","7,040","14,149","16,194","16,446","18,537","25,667","21,467","8,958","4,050","677","10","143,114","143,114","6,755","13,719","15,623","16,113","20,609","28,661","22,176","10,634","7,205","1,582","37"
"경기도 과천시 (4129000000)","80,384","80,384","8,100","8,293","8,030","12,280","13,009","11,897","10,691","5,108","2,394","563","19","39,126","39,126","4,132","4,214","4,042","5,885","6,434","5,665","5,202","2,426","951","171","4","41,258","41,258","3,968","4,079","3,988","6,395","6,575","6,232","5,489","2,682","1,443","392","15"
"경기도 구리시 (4131000000)","187,463","187,463","10,055","16,159","21,044","26,130","27,892","33,262","30,369","15,119","6,445","964","24","92,796","92,796","5,171","8,309","10,606","13,558","14,103","16,175","15,029","7,020","2,549","269","7","94,667","94,667","4,884","7,850","10,438","12,572","13,789","17,087","15,340","8,099","3,896","695","17"
"경기도 남양주시 (4136000000)","727,717","727,717","44,871","78,523","75,017","84,121","118,087","130,429","105,293","60,012","26,874","4,360","130","359,374","359,374","22,991","40,183","38,623","42,523","58,071","65,513","52,150","27,582","10,575","1,137","26","368,343","368,343","21,880","38,340","36,394","41,598","60,016","64,916","53,143","32,430","16,299","3,223","104"
"경기도 풍양출장소 (4136200000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 오산시 (4137000000)","252,414","252,414","17,831","27,306","28,583","40,816","46,692","41,795","28,913","13,636","5,911","905","26","131,713","131,713","9,176","13,967","15,557","22,757","25,232","21,792","14,517","6,297","2,188","228","2","120,701","120,701","8,655","13,339","13,026","18,059","21,460","20,003","14,396","7,339","3,723","677","24"
"경기도 시흥시 (4139000000)","514,804","514,804","37,118","52,064","56,707","73,918","88,344","92,322","71,731","28,353","11,960","2,223","64","268,112","268,112","18,907","26,638","30,743","39,871","47,350","48,138","38,093","13,635","4,272","452","13","246,692","246,692","18,211","25,426","25,964","34,047","40,994","44,184","33,638","14,718","7,688","1,771","51"
"경기도 군포시 (4141000000)","249,770","249,770","11,910","21,943","29,111","34,049","34,864","44,767","41,779","20,085","9,244","1,978","40","123,628","123,628","6,068","11,354","15,236","18,207","17,527","21,634","20,168","9,451","3,453","521","9","126,142","126,142","5,842","10,589","13,875","15,842","17,337","23,133","21,611","10,634","5,791","1,457","31"
"경기도 의왕시 (4143000000)","163,071","163,071","11,442","13,388","17,335","25,015","22,502","26,918","26,952","13,042","5,340","1,099","38","80,446","80,446","5,907","6,823","8,957","12,774","11,518","12,741","13,003","6,336","2,128","253","6","82,625","82,625","5,535","6,565","8,378","12,241","10,984","14,177","13,949","6,706","3,212","846","32"
"경기도 하남시 (4145000000)","327,571","327,571","25,665","33,878","32,576","48,644","59,454","49,943","42,687","24,777","8,473","1,431","43","162,410","162,410","13,318","17,001","16,102","24,018","30,033","25,439","20,650","11,937","3,568","337","7","165,161","165,161","12,347","16,877","16,474","24,626","29,421","24,504","22,037","12,840","4,905","1,094","36"
"경기도 용인시 (4146000000)","1,089,693","1,089,693","70,805","120,900","125,170","138,273","178,430","192,929","135,296","80,608","40,333","6,793","156","539,581","539,581","36,065","61,587","65,410","70,701","87,541","95,835","67,175","35,988","17,108","2,138","33","550,112","550,112","34,740","59,313","59,760","67,572","90,889","97,094","68,121","44,620","23,225","4,655","123"
"경기도 용인시 처인구 (4146100000)","285,532","285,532","17,575","26,833","31,939","37,753","44,146","49,839","43,240","22,553","9,771","1,847","36","145,972","145,972","8,942","13,684","17,455","20,365","23,128","25,600","21,873","10,708","3,738","472","7","139,560","139,560","8,633","13,149","14,484","17,388","21,018","24,239","21,367","11,845","6,033","1,375","29"
"경기도 용인시 기흥구 (4146300000)","434,363","434,363","26,246","48,445","52,467","52,680","69,586","80,348","52,742","32,095","16,809","2,869","76","213,728","213,728","13,434","24,753","27,421","27,072","33,652","39,351","25,851","14,094","7,133","949","18","220,635","220,635","12,812","23,692","25,046","25,608","35,934","40,997","26,891","18,001","9,676","1,920","58"
"경기도 용인시 수지구 (4146500000)","369,798","369,798","26,984","45,622","40,764","47,840","64,698","62,742","39,314","25,960","13,753","2,077","44","179,881","179,881","13,689","23,150","20,534","23,264","30,761","30,884","19,451","11,186","6,237","717","8","189,917","189,917","13,295","22,472","20,230","24,576","33,937","31,858","19,863","14,774","7,516","1,360","36"
"경기도 파주시 (4148000000)","532,124","532,124","38,249","55,806","54,382","74,120","88,196","89,971","70,893","37,334","19,570","3,524","79","267,789","267,789","19,521","28,372","28,816","38,091","45,836","46,072","35,721","17,064","7,356","921","19","264,335","264,335","18,728","27,434","25,566","36,029","42,360","43,899","35,172","20,270","12,214","2,603","60"
"경기도 이천시 (4150000000)","223,635","223,635","13,332","21,420","26,119","31,471","33,311","37,049","34,067","17,399","7,957","1,471","39","116,891","116,891","6,943","10,990","14,972","17,840","17,541","19,218","17,516","8,404","3,067","388","12","106,744","106,744","6,389","10,430","11,147","13,631","15,770","17,831","16,551","8,995","4,890","1,083","27"
"경기도 안성시 (4155000000)","198,631","198,631","10,295","17,819","21,860","23,862","28,934","34,418","32,450","18,381","8,836","1,734","42","102,746","102,746","5,359","9,173","11,916","13,442","15,606","18,086","16,615","8,823","3,303","417","6","95,885","95,885","4,936","8,646","9,944","10,420","13,328","16,332","15,835","9,558","5,533","1,317","36"
"경기도 김포시 (4157000000)","484,047","484,047","36,226","56,577","45,420","61,875","90,489","77,170","62,420","35,953","15,281","2,573","63","241,378","241,378","18,702","28,715","23,139","30,893","45,575","39,780","30,939","16,685","6,262","674","14","242,669","242,669","17,524","27,862","22,281","30,982","44,914","37,390","31,481","19,268","9,019","1,899","49"
"경기도 화성시 (4159000000)","997,713","997,713","88,483","118,306","108,432","165,584","186,451","153,507","104,922","48,448","19,704","3,789","87","516,978","516,978","45,275","60,224","57,893","88,233","97,431","81,435","54,654","23,345","7,578","899","11","480,735","480,735","43,208","58,082","50,539","77,351","89,020","72,072","50,268","25,103","12,126","2,890","76"
"경기도 화성시 만세구 (4159100000)","234,599","234,599","15,637","23,272","23,314","31,839","39,473","39,724","35,115","16,885","7,698","1,609","33","127,905","127,905","8,009","11,948","13,521","18,519","22,130","22,721","19,193","8,544","2,920","394","6","106,694","106,694","7,628","11,324","9,793","13,320","17,343","17,003","15,922","8,341","4,778","1,215","27"
"경기도 화성시 효행구 (4159300000)","159,975","159,975","13,327","15,643","16,536","25,941","26,176","25,847","20,885","10,373","4,329","888","30","82,558","82,558","6,741","7,846","8,641","13,838","13,997","13,673","10,935","5,055","1,649","181","2","77,417","77,417","6,586","7,797","7,895","12,103","12,179","12,174","9,950","5,318","2,680","707","28"
"경기도 화성시 병점구 (4159500000)","174,699","174,699","14,329","18,481","22,010","29,508","30,898","27,764","18,681","8,921","3,534","562","11","90,399","90,399","7,405","9,503","12,044","16,161","16,271","14,160","9,269","4,086","1,355","143","2","84,300","84,300","6,924","8,978","9,966","13,347","14,627","13,604","9,412","4,835","2,179","419","9"
"경기도 화성시 동탄구 (4159700000)","428,440","428,440","45,190","60,910","46,572","78,296","89,904","60,172","30,241","12,269","4,143","730","13","216,116","216,116","23,120","30,927","23,687","39,715","45,033","30,881","15,257","5,660","1,654","181","1","212,324","212,324","22,070","29,983","22,885","38,581","44,871","29,291","14,984","6,609","2,489","549","12"
"경기도 광주시 (4161000000)","398,250","398,250","26,054","36,271","37,586","51,471","66,863","70,317","62,454","32,633","12,517","2,029","55","202,608","202,608","13,263","18,570","19,871","27,017","35,063","36,143","31,165","15,802","5,182","518","14","195,642","195,642","12,791","17,701","17,715","24,454","31,800","34,174","31,289","16,831","7,335","1,511","41"
"경기도 양주시 (4163000000)","296,976","296,976","22,323","29,123","30,324","40,096","46,447","50,314","42,145","23,316","10,922","1,920","46","149,179","149,179","11,430","14,632","15,931","20,646","23,902","25,566","21,319","10,920","4,301","521","11","147,797","147,797","10,893","14,491","14,393","19,450","22,545","24,748","20,826","12,396","6,621","1,399","35"
"경기도 포천시 (4165000000)","140,464","140,464","5,513","9,682","13,739","14,008","15,281","25,763","31,024","15,846","8,005","1,546","57","74,376","74,376","2,891","5,097","7,836","8,031","8,325","13,897","16,893","8,040","2,989","365","12","66,088","66,088","2,622","4,585","5,903","5,977","6,956","11,866","14,131","7,806","5,016","1,181","45"
"경기도 여주시 (4167000000)","113,541","113,541","5,102","8,825","9,585","11,262","14,358","19,830","22,890","13,962","6,453","1,245","29","57,911","57,911","2,584","4,660","5,231","6,151","7,397","10,220","11,807","6,967","2,573","319","2","55,630","55,630","2,518","4,165","4,354","5,111","6,961","9,610","11,083","6,995","3,880","926","27"
"경기도 연천군 (4180000000)","42,868","42,868","1,842","2,773","4,302","4,198","4,233","6,460","9,221","5,913","3,317","599","10","22,478","22,478","932","1,432","2,652","2,482","2,305","3,495","4,818","2,934","1,252","174","2","20,390","20,390","910","1,341","1,650","1,716","1,928","2,965","4,403","2,979","2,065","425","8"
"경기도 가평군 (4182000000)","62,044","62,044","2,395","4,023","5,165","5,353","6,681","10,381","13,936","8,964","4,332","787","27","31,870","31,870","1,230","2,052","2,898","2,971","3,542","5,497","7,248","4,452","1,782","191","7","30,174","30,174","1,165","1,971","2,267","2,382","3,139","4,884","6,688","4,512","2,550","596","20"
"경기도 양평군 (4183000000)","126,746","126,746","5,468","9,798","8,718","10,410","15,069","21,109","27,998","18,298","8,242","1,599","37","63,644","63,644","2,835","5,068","4,845","5,442","7,487","10,788","14,132","9,097","3,546","401","3","63,102","63,102","2,633","4,730","3,873","4,968","7,582","10,321","13,866","9,201","4,696","1,198","34"
"강원특별자치도  (5100000000)","1,507,237","1,507,237","79,232","124,713","145,555","159,144","192,137","255,410","281,744","165,221","88,004","15,615","462","758,235","758,235","40,541","64,471","81,574","85,730","98,018","131,512","141,333","78,237","33,084","3,636","99","749,002","749,002","38,691","60,242","63,981","73,414","94,119","123,898","140,411","86,984","54,920","11,979","363"
"동해출장소  (5110500000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"강원특별자치도 춘천시 (5111000000)","285,160","285,160","16,924","25,642","34,631","34,960","38,298","46,045","45,533","25,825","14,549","2,690","63","140,479","140,479","8,629","13,186","18,502","18,256","19,050","22,856","22,044","11,847","5,439","647","23","144,681","144,681","8,295","12,456","16,129","16,704","19,248","23,189","23,489","13,978","9,110","2,043","40"
"강원특별자치도 원주시 (5113000000)","364,570","364,570","23,404","34,404","38,191","47,419","53,187","62,205","58,800","29,293","14,823","2,783","61","180,602","180,602","11,970","17,524","20,476","24,523","26,467","30,647","29,031","13,760","5,549","641","14","183,968","183,968","11,434","16,880","17,715","22,896","26,720","31,558","29,769","15,533","9,274","2,142","47"
"강원특별자치도 강릉시 (5115000000)","205,790","205,790","9,968","16,369","19,925","20,631","26,596","36,188","37,578","23,686","12,486","2,296","67","102,020","102,020","5,182","8,558","11,041","11,099","13,489","18,436","18,194","10,775","4,678","562","6","103,770","103,770","4,786","7,811","8,884","9,532","13,107","17,752","19,384","12,911","7,808","1,734","61"
"강원특별자치도 동해시 (5117000000)","85,608","85,608","4,502","7,757","7,275","8,063","11,650","15,762","15,225","9,740","4,844","772","18","43,359","43,359","2,301","4,044","4,274","4,502","5,954","8,261","7,443","4,543","1,855","180","2","42,249","42,249","2,201","3,713","3,001","3,561","5,696","7,501","7,782","5,197","2,989","592","16"
"강원특별자치도 태백시 (5119000000)","36,853","36,853","1,398","3,168","2,594","2,679","4,706","6,608","7,355","5,389","2,599","342","15","18,648","18,648","717","1,681","1,503","1,504","2,427","3,647","3,752","2,397","947","70","3","18,205","18,205","681","1,487","1,091","1,175","2,279","2,961","3,603","2,992","1,652","272","12"
"강원특별자치도 속초시 (5121000000)","78,805","78,805","4,051","6,500","6,538","8,586","10,523","14,215","15,067","8,580","4,019","703","23","38,951","38,951","2,109","3,286","3,626","4,765","5,329","6,984","7,281","3,903","1,487","175","6","39,854","39,854","1,942","3,214","2,912","3,821","5,194","7,231","7,786","4,677","2,532","528","17"
"강원특별자치도 삼척시 (5123000000)","60,408","60,408","2,680","4,589","5,759","4,618","6,734","10,445","12,168","8,009","4,477","902","27","30,940","30,940","1,394","2,378","3,372","2,539","3,604","5,861","6,221","3,791","1,561","215","4","29,468","29,468","1,286","2,211","2,387","2,079","3,130","4,584","5,947","4,218","2,916","687","23"
"강원특별자치도 홍천군 (5172000000)","65,889","65,889","2,687","4,304","4,712","5,389","6,620","10,548","16,108","9,568","4,930","990","33","33,967","33,967","1,368","2,178","2,794","3,079","3,471","5,597","8,412","4,944","1,897","219","8","31,922","31,922","1,319","2,126","1,918","2,310","3,149","4,951","7,696","4,624","3,033","771","25"
"강원특별자치도 횡성군 (5173000000)","45,596","45,596","1,502","3,230","2,749","2,782","4,165","7,330","12,048","7,280","3,803","687","20","23,608","23,608","787","1,731","1,587","1,519","2,250","3,921","6,321","3,790","1,546","156","0","21,988","21,988","715","1,499","1,162","1,263","1,915","3,409","5,727","3,490","2,257","531","20"
"강원특별자치도 영월군 (5175000000)","35,757","35,757","1,168","2,387","2,269","2,201","3,524","6,122","8,836","5,633","3,091","513","13","18,544","18,544","623","1,321","1,334","1,212","1,864","3,345","4,730","2,833","1,156","121","5","17,213","17,213","545","1,066","935","989","1,660","2,777","4,106","2,800","1,935","392","8"
"강원특별자치도 평창군 (5176000000)","39,917","39,917","1,186","2,480","2,648","2,515","3,964","7,144","10,162","6,172","3,146","482","18","20,698","20,698","561","1,300","1,584","1,417","2,112","3,885","5,370","3,083","1,276","107","3","19,219","19,219","625","1,180","1,064","1,098","1,852","3,259","4,792","3,089","1,870","375","15"
"강원특별자치도 정선군 (5177000000)","35,113","35,113","1,019","2,086","2,376","2,301","3,905","6,632","8,474","5,181","2,705","406","28","18,469","18,469","489","1,082","1,333","1,339","2,236","3,830","4,539","2,518","1,007","89","7","16,644","16,644","530","1,004","1,043","962","1,669","2,802","3,935","2,663","1,698","317","21"
"강원특별자치도 철원군 (5178000000)","39,727","39,727","2,207","2,997","3,946","4,098","4,382","6,177","7,669","4,838","2,985","412","16","20,512","20,512","1,111","1,566","2,489","2,383","2,282","3,301","3,974","2,199","1,103","103","1","19,215","19,215","1,096","1,431","1,457","1,715","2,100","2,876","3,695","2,639","1,882","309","15"
"강원특별자치도 화천군 (5179000000)","22,328","22,328","1,194","1,578","2,636","2,464","2,178","3,285","4,476","2,576","1,652","273","16","11,969","11,969","582","796","1,745","1,518","1,163","1,755","2,437","1,290","616","61","6","10,359","10,359","612","782","891","946","1,015","1,530","2,039","1,286","1,036","212","10"
"강원특별자치도 양구군 (5180000000)","20,358","20,358","1,175","1,852","2,065","2,187","2,241","3,013","4,028","2,197","1,358","240","2","10,703","10,703","585","945","1,324","1,271","1,172","1,630","2,118","1,083","522","53","0","9,655","9,655","590","907","741","916","1,069","1,383","1,910","1,114","836","187","2"
"강원특별자치도 인제군 (5181000000)","30,752","30,752","1,885","2,098","3,276","3,736","3,600","4,568","6,204","3,252","1,801","317","15","16,846","16,846","984","1,118","2,209","2,273","1,963","2,575","3,296","1,661","697","66","4","13,906","13,906","901","980","1,067","1,463","1,637","1,993","2,908","1,591","1,104","251","11"
"강원특별자치도 고성군 (5182000000)","27,189","27,189","1,201","1,589","2,157","2,480","2,760","4,491","5,921","3,842","2,364","371","13","13,922","13,922","599","861","1,305","1,419","1,502","2,455","3,045","1,819","841","72","4","13,267","13,267","602","728","852","1,061","1,258","2,036","2,876","2,023","1,523","299","9"
"강원특별자치도 양양군 (5183000000)","27,417","27,417","1,081","1,683","1,808","2,035","3,104","4,632","6,092","4,160","2,372","436","14","13,998","13,998","550","916","1,076","1,112","1,683","2,526","3,125","2,001","907","99","3","13,419","13,419","531","767","732","923","1,421","2,106","2,967","2,159","1,465","337","11"
"충청북도  (4300000000)","1,600,216","1,600,216","91,552","143,219","165,293","194,455","219,564","270,433","272,256","153,001","75,435","14,685","323","815,981","815,981","47,090","73,767","91,381","107,746","114,802","138,853","138,356","72,870","27,669","3,394","53","784,235","784,235","44,462","69,452","73,912","86,709","104,762","131,580","133,900","80,131","47,766","11,291","270"
"충청북도 청주시 (4311000000)","859,441","859,441","57,578","84,574","101,808","123,855","129,596","142,374","122,234","63,219","28,645","5,451","107","434,875","434,875","29,463","43,308","55,185","67,778","66,920","70,956","60,239","29,280","10,442","1,289","15","424,566","424,566","28,115","41,266","46,623","56,077","62,676","71,418","61,995","33,939","18,203","4,162","92"
"충청북도 청주시 상당구 (4311100000)","193,425","193,425","12,534","19,463","19,493","23,796","28,350","33,422","30,700","16,468","7,735","1,436","28","96,016","96,016","6,327","10,020","10,462","12,416","14,324","16,484","15,159","7,672","2,811","336","5","97,409","97,409","6,207","9,443","9,031","11,380","14,026","16,938","15,541","8,796","4,924","1,100","23"
"충청북도 청주시 서원구 (4311200000)","187,416","187,416","9,807","17,248","24,485","23,000","24,904","33,433","29,764","16,115","7,293","1,337","30","93,449","93,449","5,077","8,816","13,176","12,603","12,558","16,257","14,565","7,320","2,741","333","3","93,967","93,967","4,730","8,432","11,309","10,397","12,346","17,176","15,199","8,795","4,552","1,004","27"
"충청북도 청주시 흥덕구 (4311300000)","292,288","292,288","22,891","27,859","36,008","50,361","45,801","46,373","37,106","17,338","7,104","1,418","29","149,287","149,287","11,647","14,316","19,492","27,556","23,896","23,112","18,237","8,121","2,564","342","4","143,001","143,001","11,244","13,543","16,516","22,805","21,905","23,261","18,869","9,217","4,540","1,076","25"
"충청북도 청주시 청원구 (4311400000)","186,312","186,312","12,346","20,004","21,822","26,698","30,541","29,146","24,664","13,298","6,513","1,260","20","96,123","96,123","6,412","10,156","12,055","15,203","16,142","15,103","12,278","6,167","2,326","278","3","90,189","90,189","5,934","9,848","9,767","11,495","14,399","14,043","12,386","7,131","4,187","982","17"
"충청북도 충주시 (4313000000)","206,179","206,179","10,539","17,248","19,809","22,516","26,892","35,755","38,076","21,727","11,349","2,216","52","104,635","104,635","5,480","8,893","11,228","12,755","13,955","18,153","19,294","10,187","4,169","508","13","101,544","101,544","5,059","8,355","8,581","9,761","12,937","17,602","18,782","11,540","7,180","1,708","39"
"충청북도 제천시 (4315000000)","128,306","128,306","5,883","11,029","12,687","11,360","14,901","22,146","25,470","15,745","7,736","1,309","40","64,770","64,770","3,092","5,645","7,052","6,303","7,758","11,352","12,780","7,571","2,905","308","4","63,536","63,536","2,791","5,384","5,635","5,057","7,143","10,794","12,690","8,174","4,831","1,001","36"
"충청북도 보은군 (4372000000)","30,716","30,716","947","1,763","1,787","1,817","2,654","4,773","7,860","5,265","3,065","773","12","15,636","15,636","492","926","1,049","1,015","1,444","2,626","4,224","2,608","1,079","170","3","15,080","15,080","455","837","738","802","1,210","2,147","3,636","2,657","1,986","603","9"
"충청북도 옥천군 (4373000000)","50,423","50,423","1,646","3,504","3,777","3,422","5,229","8,692","11,493","7,753","3,976","913","18","25,635","25,635","857","1,843","2,146","1,872","2,716","4,588","6,089","3,849","1,435","235","5","24,788","24,788","789","1,661","1,631","1,550","2,513","4,104","5,404","3,904","2,541","678","13"
"충청북도 영동군 (4374000000)","43,031","43,031","1,280","2,681","2,835","2,636","3,753","7,316","10,466","7,150","4,122","775","17","21,738","21,738","651","1,405","1,573","1,469","2,003","4,045","5,443","3,472","1,490","185","2","21,293","21,293","629","1,276","1,262","1,167","1,750","3,271","5,023","3,678","2,632","590","15"
"충청북도 증평군 (4374500000)","36,724","36,724","2,194","3,345","3,509","4,500","5,208","6,190","6,169","3,529","1,744","329","7","19,153","19,153","1,122","1,732","2,078","2,532","2,840","3,307","3,158","1,673","639","70","2","17,571","17,571","1,072","1,613","1,431","1,968","2,368","2,883","3,011","1,856","1,105","259","5"
"충청북도 진천군 (4375000000)","85,558","85,558","5,560","8,398","7,304","10,641","13,626","14,659","13,713","7,117","3,712","811","17","45,307","45,307","2,896","4,342","4,244","6,084","7,392","8,062","7,337","3,465","1,331","153","1","40,251","40,251","2,664","4,056","3,060","4,557","6,234","6,597","6,376","3,652","2,381","658","16"
"충청북도 괴산군 (4376000000)","37,428","37,428","1,032","1,737","2,107","2,109","3,088","6,195","10,313","6,584","3,565","684","14","19,393","19,393","540","890","1,235","1,181","1,710","3,439","5,561","3,365","1,318","153","1","18,035","18,035","492","847","872","928","1,378","2,756","4,752","3,219","2,247","531","13"
"충청북도 음성군 (4377000000)","95,787","95,787","4,178","7,445","8,152","10,024","12,290","17,826","19,225","10,383","5,187","1,046","31","51,189","51,189","2,143","3,976","4,696","5,856","6,807","9,869","10,431","5,172","1,997","235","7","44,598","44,598","2,035","3,469","3,456","4,168","5,483","7,957","8,794","5,211","3,190","811","24"
"충청북도 단양군 (4380000000)","26,623","26,623","715","1,495","1,518","1,575","2,327","4,507","7,237","4,529","2,334","378","8","13,650","13,650","354","807","895","901","1,257","2,456","3,800","2,228","864","88","0","12,973","12,973","361","688","623","674","1,070","2,051","3,437","2,301","1,470","290","8"
"충청남도  (4400000000)","2,138,517","2,138,517","123,549","202,628","209,005","252,221","310,923","353,966","342,492","210,740","108,309","24,209","475","1,098,485","1,098,485","63,310","104,621","115,603","138,608","166,115","187,695","175,812","100,760","39,954","5,928","79","1,040,032","1,040,032","60,239","98,007","93,402","113,613","144,808","166,271","166,680","109,980","68,355","18,281","396"
"충청남도 천안시 (4413000000)","665,858","665,858","42,713","68,159","84,543","98,381","108,492","111,865","88,216","41,650","18,185","3,592","62","341,578","341,578","21,927","34,851","45,093","53,464","57,326","56,892","44,790","19,700","6,708","819","8","324,280","324,280","20,786","33,308","39,450","44,917","51,166","54,973","43,426","21,950","11,477","2,773","54"
"충청남도 천안시 동남구 (4413100000)","263,552","263,552","14,253","25,129","32,367","33,178","38,673","46,174","41,250","21,153","9,415","1,926","34","133,579","133,579","7,303","12,814","17,119","18,011","20,090","23,452","20,728","10,072","3,545","440","5","129,973","129,973","6,950","12,315","15,248","15,167","18,583","22,722","20,522","11,081","5,870","1,486","29"
"충청남도 천안시 서북구 (4413300000)","402,306","402,306","28,460","43,030","52,176","65,203","69,819","65,691","46,966","20,497","8,770","1,666","28","207,999","207,999","14,624","22,037","27,974","35,453","37,236","33,440","24,062","9,628","3,163","379","3","194,307","194,307","13,836","20,993","24,202","29,750","32,583","32,251","22,904","10,869","5,607","1,287","25"
"충청남도 공주시 (4415000000)","99,841","99,841","3,453","7,906","10,036","7,934","10,753","16,179","20,567","13,897","7,293","1,782","41","49,828","49,828","1,805","4,073","5,046","4,409","5,652","8,437","10,418","6,840","2,680","458","10","50,013","50,013","1,648","3,833","4,990","3,525","5,101","7,742","10,149","7,057","4,613","1,324","31"
"충청남도 보령시 (4418000000)","91,353","91,353","3,775","6,900","6,737","7,373","10,845","15,729","18,405","13,344","6,809","1,395","41","46,306","46,306","1,929","3,552","3,838","4,174","5,907","8,479","9,382","6,191","2,537","310","7","45,047","45,047","1,846","3,348","2,899","3,199","4,938","7,250","9,023","7,153","4,272","1,085","34"
